30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,Penelope ortoni,Baudo guan,gwân Baudo,gwanod Baudo,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope marail,Marail guan,gwân Marail,gwanod Marail,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope superciliaris,rusty-margined guan,gwân torfrown,gwanod torfrown,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope dabbenei,red-faced guan,gwân wynepgoch,gwanod wynepgoch,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope obscura,dusky-legged guan,gwân coesau tywyll,gwanod coesau tywyll,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope jacquacu,Spix's guan,gwân Spix,gwanod Spix,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope albipennis,white-winged guan,gwân adeinwyn,gwanod adeinwyn,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope perspicax,Cauca guan,gwân Cauca,gwanod Cauca,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope purpurascens,crested guan,gwân cribog,gwanod cribog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope jacucaca,white-browed guan,gwân talcenwyn,gwanod talcenwyn,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope ochrogaster,chestnut-bellied guan,gwân torwinau,gwanod torwinau,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelope pileata,white-crested guan,gwân cribwyn,gwanod cribwyn,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Aburria pipile,blue-throated piping guan,gwân gyddflas,gwanod gyddflas,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Aburria cujubi,red-throated piping guan,gwân gyddfgoch,gwanod gyddfgoch,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Aburria jacutinga,black-fronted piping guan,gwân talcenddu,gwanod talcenddu,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Aburria aburri,wattled guan,gwân tagellog,gwanod tagellog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Chamaepetes unicolor,black guan,gwân du,gwanod duon,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Chamaepetes goudotii,sickle-winged guan,gwân crymanadain,gwanod crymanadain,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Penelopina nigra,highland guan,gwân ucheldir,gwanod ucheldir,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Oreophasis derbianus,horned guan,gwân corniog,gwanod corniog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Nothocrax urumutum,nocturnal curassow,cwrasow nos,cwrasowiaid nos,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax tomentosa,lesser razor-billed curassow,cwrasow pigfawr,cwrasowiaid pigfawr,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax salvini,Salvin's curassow,cwrasow Salvin,cwrasowiaid Salvin,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax mitu,razor-billed curassow,cwrasow pigfawr cribog,cwrasowiaid pigfawr cribog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax pauxi,helmeted curassow,cwrasow helmog,cwrasowiaid helmog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax unicornis,horned curassow,cwrasow corniog,cwrasowiaid corniog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax rubra,great curassow,cwrasow mawr,cwrasowiaid mawrion,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax alberti,blue-billed curassow,cwrasow piglas,cwrasowiaid piglas,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax daubentoni,yellow-knobbed curassow,cwrasow cwyrbilen felen,cwrasowiaid cwyrbilen felen,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax alector,black curassow,cwrasow du,cwrasowiaid duon,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax globulosa,wattled curassow,cwrasow tagellog,cwrasowiaid tagellog,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax fasciolata,bare-faced curassow,cwrasow gyddfddu,cwrasowiaid gyddfddu,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,Crax blumenbachii,red-billed curassow,cwrasow picoch,cwrasowiaid picoch,g,,,GALLIFORMES,CRACIDAE,,,,,,,,,
bird,adar,35,,,,,,,,,,,,,,,,,
bird,adar,PHASIANIDAE,PHEASANTS,FFESANTOD,,,,,,,,,,,,,,,
bird,adar,MELAGRIDINAE,,,,,,,,,,,,,,,,,
bird,adar,Meleagris gallopavo,common turkey,twrci,twrcïod,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Agriocharis ocellata,ocellated turkey,twrci llygedynnog,twrcïod llygedennog,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,TETRAONINAE,,,,,,,,,,,,,,,,,
bird,adar,Dendragapus falcipennis,Siberian spruce grouse,grugiar Siberia,grugieir Siberia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Dendragapus canadensis,spruce grouse,grugiar Canada,grugieir Canada,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Dendragapus obscurus,blue grouse,grugiar dywyll,grugieir tywyll,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Lagopus lagopus,willow grouse,grugiar helyg,grugieir helyg,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,L.lagopus scoticus,red grouse,grugiar goch,grugieir cochion,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,UK,
bird,adar,Lagopus mutus,rock ptarmigan,grugiar wen,grugieir gwynion,b,,,GALLIFORMES,PHASIANIDAE,,,,Mike Nesbitt,https://drive.google.com/open?id=0BwyoF0liwUlQSnNKR2RiQk8wckU,,,UK,
bird,adar,Lagopus leucurus,white-tailed ptarmigan,grugiar gynffonwen,grugieir cynffonwyn,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetrao miokosiewiczi,Caucasian black grouse,grugiar Cawcasia,grugieir Cawcasia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetrao tetrix,black grouse,grugiar ddu,grugieir duon,b,,,GALLIFORMES,PHASIANIDAE,,,,Mike Nesbitt,https://drive.google.com/open?id=0BwyoF0liwUlQZXdqZE5xRURoT2c,,,UK,
bird,adar,Tetrao parvirostris,black-billed capercaillie,grugiar bigddu,grugieir pigddu,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetrao urogallus,western capercaillie,grugiar coed,grugieir coed,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,UK,
bird,adar,Bonasa sewerzowi,Severtzov's hazel grouse,grugiar Severtzov,grugieir Severtzov,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Bonasa bonasia,hazel grouse,grugiar cyll,grugieir cyll,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Bonasa umbellus,ruffed grouse,cochiad crych,cochiaid crychion,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Centrocercus urophasianus,sage grouse,grugiar saets,grugieir saets,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tympanuchus phasianellus,sharp-tailed grouse,grugiar gynffonfain,grugieir cynffonfain,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tympanuchus cupido,prairie chicken,grugiar paith,grugieir paith,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tympanuchus pallidicinctus,lesser prairie chicken,grugiar paith fechan,grugieir paith bychain,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,ODONTOPHORINAE,,,,,,,,,,,,,,,,,
bird,adar,Dendrortyx barbatus,bearded tree quail,sofliar coed farfog,soflieir coed barfog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Dendrortyx macroura,long-tailed tree quail,sofliar coed gynffonhir,soflieir coed cynffonhir,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Dendrortyx leucophrys,buffy-crowned tree quail,sofliar coed ben llwydfelyn,soflieir coed pen llwydfelyn,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Oreortyx picta,mountain quail,sofliar mynydd,soflieir mynydd,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Callipepla squamata,scaled quail,sofliar gennog,soflieir cennog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Lophortyx californica,California quail,sofliar Califfornia,soflieir Califfornia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Lophortyx gambelii,Gambel's quail,sofliar Gambel,soflieir Gambel,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Lophortyx douglasii,elegant quail,sofliar gain,soflieir cain,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Philortyx fasciatus,banded quail,sofliar resog,soflieir rhesog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Colinus virginianus,northern bobwhite,sofliar Virginia,soflieir Virginia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Colinus nigrogularis,black-throated quail,sofliar yddfddu,soflieir gyddfddu,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Colinus cristatus,crested bobwhite,sofliar gribog,soflieir cribog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus gujanensis,marbled wood quail,sofliar fraith America,soflieir brith America,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus capueira,spot-winged wood quail,sofliar adeinfannog,soflieir adeinfannog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus erythrops,rufous-fronted wood quail,sofliar flaen felyngoch,soflieir blaen felyngoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus atrifrons,black-fronted wood quail,sofliar flaenddu,soflieir blaenddu,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus melanonotus,black-backed wood quail,sofliar gefnddu,soflieir cefnddu,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus hyperythrus,chestnut wood quail,sofliar winau,soflieir gwinau,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus speciosus,rufous-breasted wood quail,sofliar fronfelyngoch,soflieir bronfelyngoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus strophium,gorgeted wood quail,sofliar fronfoll,soflieir bronfoll,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus dialeucos,Tacarcuna wood quail,sofliar Tacarcuna,soflieir Tacarcuna,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus colombianus,Venezuela wood quail,sofliar Venezuela,soflieir Venezuela,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus leucolaemus,white-throated wood quail,sofliar yddfwen,soflieir gyddfwyn,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus balliviani,stripe-faced wood quail,sofliar wynebresog,soflieir wynebresog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus stellatus,starred wood quail,sofliar serennog,soflieir serennog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Odontophorus guttatus,spotted wood quail,sofliar smotiog,soflieir smotiog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Dactylortyx thoracicus,singing quail,sofliar gerddorol,soflieir cerddorol,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Cyrtonyx montezumae,Montezuma's quail,sofliar Montezuma,soflieir Montezuma,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Cyrtonyx sallei,Salle's quail,sofliar Salle,soflieir Salle,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Cyrtonyx ocellatus,ocellated quail,sofliar lygadynnog,soflieir llygadynnog,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Rhynchortyx cinctus,tawny-faced quail,sofliar benfelen,soflieir penfelyn,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,PHASIANINAE,,,,,,,,,,,,,,,,,
bird,adar,Lerwa lerwa,snow partridge,petrisen eira,petris eira,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Ammoperdix griseogularis,see see partridge,petrisen si-si,petris si-si,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Ammoperdix heyi,sand partridge,petrisen dywod,petris tywod,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraogallus caucasicus,Caucasian snowcock,ceiliog eira Cawcasia,ceiliogod eira Cawcasia,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraogallus caspius,Caspian snowcock,ceiliog eira Caspia,ceiliogod eira Caspia,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraogallus tibetanus,Tibetan snowcock,ceiliog eira Tibet,ceiliogod eira Tibet,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraogallus altaicus,Altai snowcock,ceiliog eira Altai,ceiliogod eira Altai,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraogallus himalayensis,Himalayan snowcock,ceiliog eira Himalaia,ceiliogod eira Himalaia,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraophasis obscurus,Verreaux's monal partridge,petrisen Verreaux,petris Verreaux,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Tetraophasis szechenyii,Szechenyi's monal partridge,petrisen Szechenyi,petris Szechenyi,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris graeca,rock partridge,petrisen graig,petris craig,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris chukar,Chukar partridge,petrisen siwcar,petris siwcar,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris magna,Przewalski's rock partridge,petrisen graig Przewalski,petris craig Przewalski,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris philbyi,Philby's rock partridge,petrisen graig Philby,petris craig Philby,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris barbara,Barbary partridge,petrisen Barbari,petris Barbari,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Alectoris rufa,red-legged partridge,petrisen goesgoch,petris coesgoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,UK,
bird,adar,Alectoris melanocephala,Arabian chukar,petrisen goesgoch Arabia,petris coesgoch Arabia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Anurophasis monorthonyx,snow mountain quail,sofliar eira,soflieir eira,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus francolinus,black partridge,ffrancolin du,ffrancolinod duon,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus pictus,painted partridge,petrisen liwiedig,petris lliwiedig,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus pintadeanus,Chinese francolin,ffrancolin Tsieinaidd,ffrancolinod Tsieinaidd,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus afer,red-necked spurfowl,ffrancolin gyddfgoch,ffrancolinod gyddfgoch,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus swainsonii,Swainson's francolin,ffrancolin Swainson,ffrancolinod Swainson,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus rufopictus,painted francolin,ffrancolin lliwiedig,ffrancolinod lliwiedig,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus leucoscepus,yellow-necked francolin,ffrancolin gwarfelyn,ffrancolinod gwarfelyn,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus erckelii,Erckel's francolin,ffrancolin Erckel,ffrancolinod Erckel,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus ochropectus,pale-bellied francolin,ffrancolin torllwyd,ffrancolinod torllwyd,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus castaneicollis,chestnut-naped francolin,ffrancolin gwargoch,ffrancolinod gwargoch,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus jacksoni,Jackson's francolin,ffrancolin Jackson,ffrancolinod Jackson,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus nobilis,handsome francolin,ffrancolin hardd,ffrancolinod hardd,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus camerunensis,Cameroun francolin,ffrancolin y Camerŵn,ffrancolinod y Camerŵn,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus swierstrai,Swierstra's francolin,ffrancolin Swierstra,ffrancolinod Swierstra,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus ahantensis,Ahanta francolin,ffrancolin Ahanta,ffrancolinod Ahanta,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus squamatus,scaly francolin,ffrancolin cennog,ffrancolinod cennog,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus griseostriatus,grey-striped francolin,ffrancolin rhesog,ffrancolinod rhesog,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus bicalcaratus,double-spurred francolin,ffrancolin sbardun dwbl,ffrancolinod sbardun dwbl,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus icterorhynchus,yellow-billed francolin,ffrancolin pigfelyn,ffrancolinod pigfelyn,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus clappertoni,Clapperton's francolin,ffrancolin Clapperton,ffrancolinod Clapperton,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus hildebrandti,Hildebrandt's francolin,ffrancolin Hildebrandt,ffrancolinod Hildebrandt,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus natalensis,Natal francolin,ffrancolin Natal,ffrancolinod Natal,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus hartlaubi,Hartlaub's francolin,ffrancolin Hartlaub,ffrancolinod Hartlaub,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus harwoodi,Harwood's francolin,ffrancolin Harwood,ffrancolinod Harwood,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus adspersus,red-billed francolin,ffrancolin picoch,ffrancolinod picoch,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus capensis,Cape francolin,ffrancolin y Penrhyn,ffrancolinod y Penrhyn,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus sephaena,crested francolin,ffrancolin cribog,ffrancolinod cribog,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus streptophorus,ring-necked francolin,ffrancolin torchog,ffrancolinod torchog,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus psilolaemus,montane francolin,ffrancolin mynydd,ffrancolinod mynydd,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus rovuma,Kirk's francolin,ffrancolin Kirk,ffrancolinod Kirk,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus shelleyi,Shelley's francolin,ffrancolin Shelley,ffrancolinod Shelley,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus africanus,greywing francolin,ffrancolin adeinlwyd,ffrancolinod adeinlwyd,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus levaillantoides,Archer's greywing francolin,ffrancolin y Calahari,ffrancolinod y Calahari,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus levaillantii,red-winged francolin,ffrancolin adeingoch,ffrancolinod adeingoch,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus finschi,Finsch's francolin,ffrancolin Finsch,ffrancolinod Finsch,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus coqui,Coqui's francolin,ffrancolin cocwi,ffrancolinod cocwi,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus albogularis,white-throated francolin,ffrancolin gyddfwyn,ffrancolinod gyddfwyn,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus schlegeli,Schlegel's francolin,ffrancolin Schlegel,ffrancolinod Schlegel,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus lathami,Latham's francolin,ffrancolin Latham,ffrancolinod Latham,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus nahani,Nahan's francolin,ffrancolin Nahan,ffrancolinod Nahan,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus pondericerianus,Indian grey francolin,ffrancolin llwyd,ffrancolinod llwydion,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Francolinus gularis,swamp francolin,ffrancolin gors,ffrancolinod cors,g,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdix perdix,grey partridge,petrisen,petris,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,UK,
bird,adar,Perdix dauuricae,Daurian partridge,petrisen Dawria,petris Dawria,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdix hodgsoniae,Tibetan partridge,petrisen Tibet,petris Tibet,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Rhizothera longirostris,long-billed wood partridge,petrisen hirbig,petris hirbig,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Margaroperdix madagascarensis,Madagascar partridge,petrisen Madagasgar,petris Madagasgar,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Melanoperdix nigra,black wood partridge,petrisen ddu,petris duon,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix coturnix,common quail,sofliar,soflieir,b,,,GALLIFORMES,PHASIANIDAE,,,,,,SUMMER,,UK,
bird,adar,Coturnix japonica,Japanese quail,sofliar Japan,soflieir Japan,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix coromandelica,rain quail,sofliar glaw,soflieir glaw,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix delegorguei,harlequin quail,sofliar fraith Affrica,soflieir brith Affrica,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix pectoralis,pectoral quail,sofliar Awstralia,soflieir Awstralia,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix australis,brown quail,sofliar frown,soflieir brown,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix ypsilophora,Tasmanian brown quail,sofliar Tasmania,soflieir Tasmania,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Coturnix chinensis,Indian blue quail,sofliar las,soflieir gleision,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdicula asiatica,jungle bush quail,sofliar prysglwyn,soflieir prysglwyn,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdicula argoondah,rock bush quail,sofliar graig,soflieir craig,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdicula erythrorhyncha,painted bush quail,sofliar liwiedig,soflieir lliwiedig,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Perdicula manipurensis,Manipur bush quail,sofliar Manipur,soflieir Manipur,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila torqueola,common hill partridge,petrisen fynydd,petris mynydd,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila rufogularis,rufous-throated hill partridge,petrisen fynydd yddfgoch,petris mynydd gyddfgoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila atrogularis,white-cheeked hill partridge,petrisen fynydd fochwen,petris mynydd bochwen,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila crudigularis,white-throated hill partridge,petrisen fynydd yddfwen,petris mynydd gyddfwen,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila mandellii,red-breasted hill partridge,petrisen fynydd frongoch,petris mynydd brongoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila brunneopectus,brown-breasted hill partridge,petrisen fynydd fronfrown,petris mynydd bronfrown,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila rufipectus,Boulton's hill partridge,petrisen fynydd Boulton,petris mynydd Boulton,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila gingica,Rickett's hill partridge,petrisen fynydd Rickett,petris mynydd Rickett,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila davidi,David's tree partridge,petrisen goed David,petris coed David,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila cambodiana,chestnut-headed tree partridge,petrisen goed benwinau,petris coed penwinau,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila orientalis,Sumatran hill partridge,petrisen fynydd Swmatra,petris mynydd Swmatra,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila javanica,chestnut-bellied tree partridge,petrisen goed dorwinau,petris coed torwinau,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
bird,adar,Arborophila rubrirostris,red-billed tree partridge,petrisen goed bicoch,petris coed picoch,b,,,GALLIFORMES,PHASIANIDAE,,,,,,,,,
