30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,Crypturellus duidae,grey-legged tinamou,tinamŵ coeslwyd,tinamŵaid coeslwyd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus erythropus,red-footed tinamou,tinamŵ coesgoch,tinamŵaid coesgoch,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus noctivagus,yellow-legged tinamou,tinamŵ coesfelyn,tinamŵaid coesfelyn,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus atrocapillus,black-capped tinamou,tinamŵ penddu,tinamŵaid penddu,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus cinnamoneus,thicket tinamou,tinamŵ llwyni,tinamŵaid llwyni,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus boucardi,slaty-breasted tinamou,tinamŵ bronllwyd,tinamŵaid bronllwyd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus kerriae,Choco tinamou,tinamŵ Choco,tinamŵaid Choco,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus variegatus,variegated tinamou,tinamŵ amryliw,tinamŵaid amryliw,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus brevirostris,rusty tinamou,tinamŵ coch,tinamŵaid cochion,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus bartletti,Bartlett's tinamou,tinamŵ Bartlett,tinamŵaid Bartlett,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus parvirostris,small-billed tinamou,tinamŵ pigfach,tinamŵaid pigfach,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus casiquiare,barred tinamou,tinamŵ rhesog,tinamŵaid rhesog,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus tataupa,tataupa tinamou,tinamŵ tataupa,tinamŵaid tataupa,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Rhynchotus rufescens,red-winged tinamou,tinamŵ adeingoch,tinamŵaid adeingoch,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta tacznowskii,Taczanowski's tinamou,tinamŵ Taczanowski,tinamŵaid Taczanowski,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta kalinowskii,Kalinowski's tinamou,tinamŵ Kalinowski,tinamŵaid Kalinowski,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta ornata,ornate tinamou,tinamŵ addurnol,tinamŵaid addurnol,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta perdicaria,Chilean tinamou,tinamŵ Chile,tinamŵaid Chile,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta cinerascens,brushland tinamou,tinamŵ prysgdir,tinamŵaid prysgdir,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta pentlandii,Andean tinamou,tinamŵ mynydd,tinamŵaid mynydd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta curvirostris,curve-billed tinamou,tinamŵ crymbig,tinamŵaid crymbig,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothura boraquira,white-bellied nothura,nothwra torwyn,nothwraid torwyn,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothura minor,lesser nothura,nothwra bach,nothwraid bach,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothura darwinii,Darwin's nothura,nothwra Darwin,nothwraid Darwin,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothura maculosa,spotted nothura,nothwra brych,nothwraid brych,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Taoniscus nanus,dwarf tinamou,tinamŵ bychan,tinamŵaid bychain,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Eudromia elegans,elegant crested-tinamou,tinamŵ cribog y De,tinamŵaid cribog y De,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Eudromia formosa,Quebracho crested-tinamou,tinamŵ cribog y Gogledd,tinamŵaid cribog y Gogledd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamotis pentlandii,puna tinamou,tinamŵ pwna,tinamŵaid pwna,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamotis ingoufi,Patagonian tinamou,tinamŵ Patagonia,tinamŵaid Patagonia,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,SPHENISCIFORMES,,,,,,,,,,,,,,,,,
bird,adar,7,,,,,,,,,,,,,,,,,
bird,adar,SPHENISCIDAE,PENGUINS,PENGWINIAID,,,,,,,,,,,,,,,
bird,adar,Aptenodytes patagonicus,king penguin,pengwin Patagonia,pengwiniaid Patagonia,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Aptenodytes forsteri,emperor penguin,pengwin ymerodrol,pengwiniaid ymerodrol,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Pygoscelis papua,gentoo penguin,pengwin jentw,pengwiniaid jentw,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Pygoscelis adeliae,Adelie penguin,pengwin Adélie,pengwiniaid Adélie,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Pygoscelis antarctica,bearded penguin,pengwin barfog,pengwiniaid barfog,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes pachyrhynchus,Victoria penguin,pengwin ffiordydd,pengwiniaid ffiordydd,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes robustus,Snares Island penguin,pengwin Ynys Snares,pengwiniaid Ynys Snares,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes sclateri,big-crested penguin,pengwin cribsyth,pengwiniaid cribsyth,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes chrysocome,rockhopper penguin,pengwin cribfelyn,pengwiniaid cribfelyn,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes schlegeli,royal penguin,pengwin Ynys Macquarie,pengwiniaid Ynys Macquarie,g,"i'w gael ond yn Y. Macquarie, prin iawn",,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptes chrysolophus,macaroni penguin,pengwin macaroni,pengwiniaid macaroni,g,macaroni = 'dandy' = coegyn,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Megadyptes antipodes,yellow-eyed penguin,pengwin llygadfelyn,pengwiniaid llygadfelyn,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Eudyptula minor,little penguin,pengwin bach,pengwiniaid bach,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Spheniscus demersus,jackass penguin,pengwin brefog,pengwiniaid brefog,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Spheniscus humboldti,Humboldt penguin,pengwin Periw,pengwiniaid Periw,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Spheniscus magellanicus,Magellanic penguin,pengwin Magellan,pengwiniaid Magellan,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,Spheniscus mendiculus,Galapagos penguin,pengwin y Galapagos,pengwiniaid y Galapagos,g,,,SPHENISCIFORMES,SPHENISCIDAE,,,,,,,,,
bird,adar,GAVIIFORMES,,,,,,,,,,,,,,,,,
bird,adar,8,,,,,,,,,,,,,,,,,
bird,adar,GAVIIDAE,DIVERS,TROCHYDDION,,,,,,,,,,,,,,,
bird,adar,Gavia stellata,red-throated diver,trochydd gyddfgoch,trochyddion gyddfgoch,g,,,GAVIIFORMES,GAVIIDAE,,,,Mike Nesbitt,https://drive.google.com/open?id=0BwyoF0liwUlQQk5aUjdzampGYmM,,,UK,
bird,adar,Gavia arctica,black-throated diver,trochydd gyddfddu,trochyddion gyddfddu,g,,,GAVIIFORMES,GAVIIDAE,,,,,,WINTER,,UK,
bird,adar,Gavia pacifica,Pacific diver,trochydd y Môr Tawel,trochyddion y Môr Tawel,g,,,GAVIIFORMES,GAVIIDAE,,,,,,,,,
bird,adar,Gavia immer,great northern diver,trochydd mawr,trochyddion mawrion,g,,,GAVIIFORMES,GAVIIDAE,,,,Mike Nesbitt,https://drive.google.com/open?id=0BwyoF0liwUlQdFdFZkxrTmxCdFU,WINTER,,UK,
bird,adar,Gavia adamsii,white-billed diver,trochydd pigwyn,trochyddion pigwyn,g,,,GAVIIFORMES,GAVIIDAE,,,,,,WINTER,R,UK,
